Words		Stem		Affix
باادب		ادب		با
بااخلاق		اخلاق		با
باکردار		کردار		با
باعزت		عزت		با
بامراد		مراد		با
بےادب		ادب		بے
بےنصیب		نصیب		بے
بےمروت		مروت		بے
بےعزت		عزت		بے
پابند		بند		پا
پامال		مال		پا
پانچ		نچ		پا
تہخانہ		خانہ		تہ
تہبند		بند		تہ
نامراد		مراد		نا
نامرد		مرد		نا
نافرمان		فرمان		نا
ناامید		امید		نا
نونہار		نونہار		None
نوجوان		نوجوان		None
نونہال		نونہال		None
پرکیف		کیف		پر
پردرد		درد		پر
پرنور		نور		پر
پرجوش		جوش		پر
پرزور		زور		پر
بدنصیب		نصیب		بد
بدنام		نام		بد
بدصورت		صورت		بد
بدتہذیب		تہذیب		بد
بدگمان		گمان		بد
انجان		جان		ان
انتھک		تھک		ان
انگنت		گنت		ان
انمول		مول		ان
چوراہا		راہا		چو
چوہٹہ		ہٹہ		چو
چومکھی		مکھی		چو
چوکور		کور		چو
چوگنا		گنا		چو
لڑکیاں		لڑک		یاں
ٹاکیاں		ٹاک		یاں
ٹافیاں		ٹاف		یاں
خاموشیاں		خاموش		یاں
بسیں		بس		یں
کریں		کر		یں
رویں		رو		یں
دھویں		دھو		یں
سویں		سو		یں
دسویں		دسو		یں
کرنا		کر		نا
بھرنا		بھر		نا
سڑنا		سڑ		نا
جاگنا		جاگ		نا
ڈالنا		ڈال		نا
رشتےدار		رشتے		دار
دانےدار		دانے		دار
سمجھدار		سمجھ		دار
خبردار		خبر		دار
دولتمند		دولت		مند
عزتمند		عزت		مند
دغاباز		دغا		باز
دھوکاباز		دھوکا		باز
جانباز		جان		باز
ہواباز		ہوا		باز
کبوترباز		کبوتر		باز
دلبر		دل		بر
پیغمبر		پیغم		بر
راہبر		راہ		بر
خوردبین		خورد		بین
بدبین		بین		بد
مبین		م		بین
باریکبین		ریکبین		با
دوربین		دور		بین
اشکبار		اشک		بار
شعلہبار		شعلہ		بار
مشکبار		مشک		بار
عطربار		عطر		بار
ہنسایا		ہنسا		یا
سویا		سو		یا
کھایا		کھا		یا
رویا		رو		یا
گرجتا		گرج		تا
گرتا		گر		تا
جاتا		جا		تا
ہونگے		ہونگے		None
آئیںگے		آئی		ںگے
کھیلیںگے		کھیلی		ںگے
کرتے		کر		تے
جاتے		جا		تے
